Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.9994713283755683,0.9012345679012346,0.7684210526315789,0.8295454545454546,0.9626514698955468
XGBoost,0.9993303492757198,0.8,0.8,0.8,0.9622675866733434
